id,session,identifier,title,jurisdiction_id,media_type,url,note
dcedba83-1641-45c7-bf71-3cd798ae6dd0,87,HB 1685,Relating to the use of an electronic recording device to report proceedings before a municipal court of record for the City of San Antonio.,ocd-jurisdiction/country:us/state:tx/government,text/html,http://capitol.texas.gov/tlodocs/87R/billtext/html/HB01685I.HTM,Introduced
dcedba83-1641-45c7-bf71-3cd798ae6dd0,87,HB 1685,Relating to the use of an electronic recording device to report proceedings before a municipal court of record for the City of San Antonio.,ocd-jurisdiction/country:us/state:tx/government,application/pdf,http://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB01685I.PDF,Introduced
3714690e-7dd8-4bc9-b019-8cc97a446d77,87,SR 48,"Recognizing Jearlene Miller for her 50 years of membership in Alpha Kappa Alpha Sorority, Incorporated.",ocd-jurisdiction/country:us/state:tx/government,text/html,http://capitol.texas.gov/tlodocs/87R/billtext/html/SR00048F.HTM,Enrolled
3714690e-7dd8-4bc9-b019-8cc97a446d77,87,SR 48,"Recognizing Jearlene Miller for her 50 years of membership in Alpha Kappa Alpha Sorority, Incorporated.",ocd-jurisdiction/country:us/state:tx/government,application/pdf,http://capitol.texas.gov/tlodocs/87R/billtext/pdf/SR00048F.PDF,Enrolled
970843ac-b660-49df-a607-ddf3ec00d025,87,HB 570,Relating to small business recovery funds and insurance tax credits for certain investments in those funds; imposing a monetary penalty; authorizing fees.,ocd-jurisdiction/country:us/state:tx/government,text/html,http://capitol.texas.gov/tlodocs/87R/billtext/html/HB00570I.HTM,Introduced
970843ac-b660-49df-a607-ddf3ec00d025,87,HB 570,Relating to small business recovery funds and insurance tax credits for certain investments in those funds; imposing a monetary penalty; authorizing fees.,ocd-jurisdiction/country:us/state:tx/government,application/pdf,http://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB00570I.PDF,Introduced
0b25da58-7623-42cd-a3a8-01d2d9b211c5,87,SB 97,Relating to unprofessional conduct by mental health providers who attempt to change the sexual orientation of a child; providing penalties.,ocd-jurisdiction/country:us/state:tx/government,text/html,http://capitol.texas.gov/tlodocs/87R/billtext/html/SB00097I.HTM,Introduced
0b25da58-7623-42cd-a3a8-01d2d9b211c5,87,SB 97,Relating to unprofessional conduct by mental health providers who attempt to change the sexual orientation of a child; providing penalties.,ocd-jurisdiction/country:us/state:tx/government,application/pdf,http://capitol.texas.gov/tlodocs/87R/billtext/pdf/SB00097I.PDF,Introduced
a4770b84-2956-4cd4-a66b-6f48ed5d6846,87,HB 1364,Relating to referring children to local workforce development boards for subsidized child care services.,ocd-jurisdiction/country:us/state:tx/government,text/html,http://capitol.texas.gov/tlodocs/87R/billtext/html/HB01364I.HTM,Introduced
a4770b84-2956-4cd4-a66b-6f48ed5d6846,87,HB 1364,Relating to referring children to local workforce development boards for subsidized child care services.,ocd-jurisdiction/country:us/state:tx/government,application/pdf,http://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB01364I.PDF,Introduced
790decc2-fbbd-4790-82cf-68d323f1822b,87,HB 771,Relating to the inclusion of instruction about bullying and cyberbullying in the required curriculum for public school students.,ocd-jurisdiction/country:us/state:tx/government,text/html,http://capitol.texas.gov/tlodocs/87R/billtext/html/HB00771I.HTM,Introduced
790decc2-fbbd-4790-82cf-68d323f1822b,87,HB 771,Relating to the inclusion of instruction about bullying and cyberbullying in the required curriculum for public school students.,ocd-jurisdiction/country:us/state:tx/government,application/pdf,http://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB00771I.PDF,Introduced
9ceb6554-b3c6-4280-af37-52f39fe666f5,87,SR 29,In memory of Melvin Lacy Parkerson Sr.,ocd-jurisdiction/country:us/state:tx/government,text/html,http://capitol.texas.gov/tlodocs/87R/billtext/html/SR00029F.HTM,Enrolled
9ceb6554-b3c6-4280-af37-52f39fe666f5,87,SR 29,In memory of Melvin Lacy Parkerson Sr.,ocd-jurisdiction/country:us/state:tx/government,application/pdf,http://capitol.texas.gov/tlodocs/87R/billtext/pdf/SR00029F.PDF,Enrolled
f77b7d14-4850-4b86-8963-21392b96614f,87,HB 1108,"Relating to the eligibility of an individual to be issued a license to operate as a dispensing organization under the Texas Compassionate-Use Act, or to act as a director, manager, or employee of a dispensing organization, based on a criminal history background check.",ocd-jurisdiction/country:us/state:tx/government,text/html,http://capitol.texas.gov/tlodocs/87R/billtext/html/HB01108I.HTM,Introduced
f77b7d14-4850-4b86-8963-21392b96614f,87,HB 1108,"Relating to the eligibility of an individual to be issued a license to operate as a dispensing organization under the Texas Compassionate-Use Act, or to act as a director, manager, or employee of a dispensing organization, based on a criminal history background check.",ocd-jurisdiction/country:us/state:tx/government,application/pdf,http://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB01108I.PDF,Introduced
f9674b74-5537-486e-b932-cb09cffc2fa3,87,HB 60,Relating to the minimum wage.,ocd-jurisdiction/country:us/state:tx/government,text/html,http://capitol.texas.gov/tlodocs/87R/billtext/html/HB00060I.HTM,Introduced
